metrekare,oda_sayisi,bina_yasi,semt,fiyat
188,4,8,Yeni Mahalle,5064000
118,2,11,Sanayi,2449000
195,6,36,Yeni Mahalle,3892000
192,4,5,Yeni Mahalle,5047000
166,4,12,Yeni Mahalle,4087000
59,3,20,Üniversite,1385000
183,4,33,Üniversite,4235000
142,3,27,Üniversite,3525000
59,3,21,Üniversite,1609000
203,6,21,Sahil,6943000
158,5,16,Sahil,5670000
140,5,2,Yeni Mahalle,3867000
120,4,25,Üniversite,3093000
197,6,18,Üniversite,5187000
84,1,27,Merkez,2190000
51,2,6,Üniversite,1441000
158,5,23,Merkez,4414000
94,2,22,Üniversite,2518000
212,5,12,Üniversite,5973000
211,5,10,Yeni Mahalle,5302000
187,6,37,Merkez,4589000
178,4,11,Sanayi,3915000
113,2,28,Sanayi,1984000
57,3,14,Sanayi,1141000
60,2,4,Üniversite,1856000
129,5,35,Yeni Mahalle,2602000
89,3,39,Sahil,2364000
50,2,24,Merkez,1424000
93,2,0,Üniversite,2718000
88,4,5,Sanayi,2000000
189,5,11,Sahil,6973000
79,1,33,Sanayi,1241000
52,1,32,Üniversite,1258000
50,1,28,Sanayi,907000
202,6,37,Üniversite,4330000
195,5,33,Sanayi,3557000
134,3,4,Merkez,4532000
165,6,15,Merkez,5134000
202,7,20,Yeni Mahalle,4650000
176,5,4,Yeni Mahalle,4674000
139,5,28,Yeni Mahalle,3062000
65,2,27,Yeni Mahalle,1519000
54,3,33,Merkez,1273000
139,5,18,Sanayi,2904000
82,2,19,Yeni Mahalle,2069000
184,5,9,Yeni Mahalle,4664000
84,3,2,Sahil,3364000
147,3,31,Sanayi,2622000
122,3,31,Sanayi,2211000
144,4,0,Üniversite,4361000
145,5,15,Sanayi,3020000
133,4,24,Yeni Mahalle,2908000
198,5,36,Merkez,4911000
206,7,40,Yeni Mahalle,3800000
140,4,39,Sahil,3957000
163,6,15,Sanayi,3549000
129,3,3,Üniversite,3992000
191,5,18,Sahil,6634000
135,5,6,Yeni Mahalle,3669000
208,7,24,Yeni Mahalle,4826000
80,1,5,Merkez,2793000
76,2,11,Sanayi,1523000
83,1,31,Yeni Mahalle,1888000
73,2,9,Merkez,2312000
66,1,7,Sanayi,1419000
85,2,3,Yeni Mahalle,2240000
148,4,15,Merkez,4514000
50,1,1,Sahil,2073000
155,3,36,Yeni Mahalle,3024000
53,1,40,Yeni Mahalle,884000
97,4,27,Üniversite,2462000
174,5,14,Sahil,6129000
110,2,26,Üniversite,2728000
213,7,2,Yeni Mahalle,5957000
190,4,14,Yeni Mahalle,4598000
190,4,7,Merkez,6278000
77,1,6,Üniversite,2303000
50,1,7,Üniversite,1515000
64,1,32,Yeni Mahalle,1243000
126,3,15,Sanayi,2661000
188,6,13,Yeni Mahalle,4567000
169,5,15,Üniversite,4550000
60,3,26,Merkez,1659000
129,3,10,Üniversite,3562000
78,3,29,Merkez,1976000
109,4,21,Üniversite,2810000
78,2,8,Sahil,2896000
65,3,4,Yeni Mahalle,1890000
127,3,36,Sahil,3818000
155,5,21,Üniversite,4098000
200,5,12,Sahil,7220000
118,4,34,Üniversite,2500000
103,3,30,Üniversite,2328000
161,6,34,Sahil,4842000
187,6,33,Merkez,4740000
181,4,10,Merkez,5812000
109,2,11,Sahil,4172000
184,6,16,Merkez,5726000
109,3,17,Sahil,3808000
137,5,34,Sanayi,2481000
174,6,8,Sahil,6645000
158,5,2,Sahil,6430000
101,2,39,Yeni Mahalle,2004000
181,5,2,Üniversite,5488000
87,1,0,Merkez,2996000
160,5,11,Yeni Mahalle,4198000
57,3,36,Üniversite,1312000
214,7,1,Yeni Mahalle,5970000
165,5,16,Sanayi,3314000
160,6,21,Sanayi,3291000
166,6,32,Üniversite,3684000
197,5,2,Merkez,6781000
78,2,39,Yeni Mahalle,1638000
104,4,35,Yeni Mahalle,2183000
166,6,9,Sanayi,3785000
83,2,4,Yeni Mahalle,2144000
72,2,13,Üniversite,1970000
214,5,19,Üniversite,5690000
85,1,39,Merkez,1977000
84,2,21,Üniversite,2145000
86,3,33,Üniversite,2046000
85,3,13,Sanayi,1855000
137,5,21,Üniversite,3474000
108,3,25,Üniversite,2754000
197,5,8,Sahil,7388000
165,4,36,Yeni Mahalle,3263000
189,4,24,Merkez,5250000
147,4,15,Üniversite,3923000
215,6,31,Yeni Mahalle,4537000
163,5,22,Sanayi,3264000
185,5,40,Üniversite,3735000
135,5,9,Merkez,4280000
53,2,37,Sanayi,1007000
183,6,6,Yeni Mahalle,4966000
65,2,24,Üniversite,1634000
82,3,14,Üniversite,2385000
125,5,13,Üniversite,3455000
98,2,25,Merkez,2862000
139,4,37,Sanayi,2370000
89,4,37,Sahil,2660000
180,5,35,Sahil,5229000
149,3,31,Sahil,4468000
73,3,36,Sahil,2131000
90,4,5,Merkez,2902000
121,2,38,Yeni Mahalle,2222000
102,2,14,Yeni Mahalle,2637000
50,1,31,Sanayi,945000
89,4,34,Sahil,2741000
177,6,9,Merkez,5816000
54,3,36,Yeni Mahalle,1031000
65,1,8,Merkez,2275000
56,2,21,Sahil,1989000
174,4,23,Yeni Mahalle,3858000
83,2,17,Üniversite,2185000
57,3,0,Sahil,2166000
208,7,26,Merkez,5872000
174,4,6,Merkez,5854000
132,4,30,Merkez,3629000
182,4,2,Yeni Mahalle,5025000
47,1,18,Sahil,1654000
206,7,11,Sanayi,4429000
215,7,32,Üniversite,4777000
132,4,25,Yeni Mahalle,2915000
81,2,24,Üniversite,2120000
152,3,11,Merkez,4903000
49,2,28,Sanayi,864000
104,4,22,Merkez,3080000
165,5,20,Sahil,5682000
190,6,39,Merkez,4693000
210,7,14,Sanayi,4517000
137,3,17,Sanayi,2956000
191,6,26,Sanayi,3500000
140,4,33,Sahil,4180000
61,1,25,Sahil,2045000
136,4,39,Sanayi,2239000
144,3,21,Sanayi,2747000
98,2,30,Yeni Mahalle,2150000
142,5,35,Sanayi,2544000
