zaman,sensor_id,sicaklik,nem
2024-06-01T00:00:00.000Z,S3,20.3,67.8
2024-06-01T00:00:38.000Z,S3,21.7,66.5
2024-06-01T00:01:34.000Z,S5,22.4,67.9
2024-06-01T00:02:24.000Z,S4,21.5,66.4
2024-06-01T00:03:01.000Z,S5,22.6,68.4
2024-06-01T00:03:41.000Z,S1,22.1,67.5
2024-06-01T00:04:57.000Z,S4,23.2,65.9
2024-06-01T00:06:21.000Z,S1,22.7,67.3
2024-06-01T00:06:51.000Z,S1,23.5,68.6
2024-06-01T00:07:52.000Z,S2,24.0,67.4
2024-06-01T00:08:32.000Z,S2,23.6,64.9
2024-06-01T00:09:52.000Z,S4,23.5,65.2
2024-06-01T00:11:02.000Z,S5,24.0,64.8
2024-06-01T00:12:05.000Z,S1,25.3,64.5
2024-06-01T00:13:04.000Z,S4,25.6,67.0
2024-06-01T00:13:53.000Z,S4,25.4,65.8
2024-06-01T00:15:16.000Z,S1,24.3,67.1
2024-06-01T00:16:10.000Z,S1,25.0,65.7
2024-06-01T00:16:40.000Z,S5,24.5,64.3
2024-06-01T00:17:31.000Z,S5,25.9,66.3
2024-06-01T00:19:00.000Z,S2,25.0,65.8
2024-06-01T00:20:15.000Z,S2,27.1,66.6
2024-06-01T00:21:03.000Z,S3,26.3,63.4
2024-06-01T00:22:11.000Z,S5,26.2,65.5
2024-06-01T00:23:19.000Z,S5,26.6,64.6
2024-06-01T00:24:11.000Z,S1,26.4,63.3
2024-06-01T00:24:44.000Z,S3,26.6,62.6
2024-06-01T00:26:03.000Z,S3,27.9,64.0
2024-06-01T00:27:13.000Z,S5,28.0,61.7
2024-06-01T00:27:45.000Z,S3,27.4,62.6
2024-06-01T00:28:46.000Z,S5,28.4,61.4
2024-06-01T00:29:41.000Z,S3,28.8,61.4
2024-06-01T00:31:00.000Z,S3,28.6,63.5
2024-06-01T00:32:03.000Z,S2,29.0,61.9
2024-06-01T00:33:05.000Z,S2,27.6,60.8
2024-06-01T00:34:33.000Z,S1,29.0,63.3
2024-06-01T00:35:16.000Z,S3,28.5,59.4
2024-06-01T00:35:52.000Z,S5,28.7,59.7
2024-06-01T00:37:05.000Z,S2,28.0,60.7
2024-06-01T00:37:39.000Z,S1,27.9,61.7
2024-06-01T00:38:44.000Z,S4,29.3,61.2
2024-06-01T00:39:53.000Z,S1,28.0,58.0
2024-06-01T00:40:28.000Z,S5,29.2,60.1
2024-06-01T00:41:08.000Z,S1,28.8,59.5
2024-06-01T00:42:13.000Z,S2,29.9,59.7
2024-06-01T00:43:16.000Z,S5,29.1,59.2
2024-06-01T00:44:38.000Z,S5,28.3,57.0
2024-06-01T00:45:37.000Z,S5,28.8,58.6
2024-06-01T00:46:27.000Z,S4,28.4,57.4
2024-06-01T00:47:06.000Z,S2,29.1,56.2
2024-06-01T00:48:36.000Z,S3,29.0,56.6
2024-06-01T00:49:49.000Z,S4,29.0,57.6
2024-06-01T00:50:35.000Z,S1,29.3,54.3
2024-06-01T00:51:38.000Z,S5,29.1,56.0
2024-06-01T00:52:34.000Z,S5,28.1,54.9
2024-06-01T00:53:24.000Z,S2,28.2,56.1
2024-06-01T00:54:09.000Z,S1,28.4,54.1
2024-06-01T00:55:16.000Z,S3,29.0,53.4
2024-06-01T00:56:12.000Z,S1,28.3,52.4
2024-06-01T00:57:03.000Z,S2,28.0,53.0
2024-06-01T00:57:34.000Z,S2,27.5,52.5
2024-06-01T00:58:16.000Z,S1,28.9,54.1
2024-06-01T00:59:42.000Z,S1,28.8,51.3
2024-06-01T01:00:59.000Z,S5,28.8,50.8
2024-06-01T01:02:03.000Z,S5,27.5,52.5
2024-06-01T01:02:36.000Z,S4,27.1,52.3
2024-06-01T01:04:03.000Z,S2,27.2,48.9
2024-06-01T01:04:38.000Z,S4,27.4,50.3
2024-06-01T01:06:01.000Z,S3,27.4,49.0
2024-06-01T01:06:40.000Z,S1,26.7,50.2
2024-06-01T01:07:46.000Z,S5,26.0,50.3
2024-06-01T01:09:02.000Z,S3,27.0,48.1
2024-06-01T01:09:46.000Z,S2,26.2,47.6
2024-06-01T01:10:47.000Z,S4,26.0,47.1
2024-06-01T01:11:56.000Z,S4,25.2,46.2
2024-06-01T01:12:47.000Z,S1,25.8,46.3
2024-06-01T01:13:18.000Z,S4,25.8,48.7
2024-06-01T01:13:54.000Z,S1,25.1,45.2
