siparis_id,musteri_id,urun_id,adet,birim_fiyat,tarih,durum
1,44,5,1,317.65,2023-06-06,kargoda
2,52,13,5,2575.92,2023-12-23,beklemede
3,15,8,3,3432.97,20/12/2024,kargoda
4,69,8,1,1078.00,23.11.2024,teslim
5,3,7,5,3633.16,2024-04-13,iptal
6,50,13,2,2695.45,2024-01-23,Teslim
7,6,15,5,2948.11,2023-03-27,teslim
8,11,17,2,2233.32,2023-07-06,teslim
9,9,4,5,2960.69,15/11/2023,beklemede
10,69,18,5,2040.24,14.11.2023,kargoda
11,14,6,3,1136.92,18/09/2023,kargoda
12,12,6,4,1747.62,06.10.2023,kargoda
13,80,4,1,2865.23,15/08/2023,kargoda
14,33,7,3,830.08,12.12.2024,teslim
15,63,1,1,2763.35,2023-10-23,Teslim
16,62,18,4,3787.41,02.01.2023,kargoda
17,9,6,1,1502.92,15.02.2023,teslim
18,23,19,5,2715.86,2023-12-28,beklemede
19,78,17,1,553.96,17/11/2024,TESLIM
20,61,10,2,927.86,23.01.2024,TESLIM
21,26,12,2,3033.06,25/09/2023,iptal
22,38,17,3,816.32,19.07.2023,teslim
23,21,16,2,2754.22,02/04/2024,iptal
24,62,16,3,1338.19,2023-04-06,beklemede
25,8,6,2,1586.45,22.10.2024,TESLIM
26,65,4,4,275.54,2024-10-04,teslim
27,32,16,2,3233.34,24/12/2024,kargoda
28,66,4,1,3092.23,09.01.2024,kargoda
29,12,1,5,1916.33,01/06/2023,Teslim
30,13,14,5,1821.52,22/06/2024,beklemede
31,11,4,2,3029.51,26/12/2024,Teslim
32,44,20,2,1455.32,2023-08-02,teslim
33,42,10,4,1418.16,2024-09-03,iptal
34,36,8,3,582.49,2023-03-24,Teslim
35,48,13,1,2988.33,12.04.2024,TESLIM
36,71,20,3,1198.95,13/04/2024,iptal
37,52,20,1,3423.66,2024-02-27,kargoda
38,1,2,5,1776.92,2023-08-09,Teslim
39,38,12,3,2752.68,28/02/2023,beklemede
40,6,7,3,1886.56,2023-04-20,beklemede
41,45,7,1,1047.63,12.11.2024,teslim
42,7,9,2,,2024-11-10,teslim
43,19,16,4,1249.42,27/06/2024,iptal
44,26,9,4,2781.75,27.10.2024,iptal
45,37,10,4,1098.17,2023-05-26,iptal
46,76,18,2,1579.47,2023-10-11,kargoda
47,24,2,3,2104.33,13.02.2024,teslim
48,65,19,5,3752.60,2024-12-12,TESLIM
49,67,18,3,,24/09/2023,teslim
50,18,19,4,3174.49,14/05/2024,beklemede
51,6,19,2,3333.86,07/08/2024,kargoda
52,75,8,1,2113.79,15/10/2024,beklemede
53,17,3,3,2037.20,2024-04-06,kargoda
54,27,20,5,3979.39,08/10/2023,kargoda
55,19,17,1,1271.62,2023-03-11,beklemede
56,30,12,5,3789.17,11/12/2023,teslim
57,71,13,5,1539.39,23.03.2024,beklemede
58,49,19,1,2703.93,13.06.2023,beklemede
59,19,13,2,1608.72,2023-01-08,iptal
60,65,12,4,748.50,18/12/2023,kargoda
61,49,11,4,2610.62,25.04.2023,beklemede
62,56,16,1,3472.47,24.03.2023,kargoda
63,9,20,5,1943.57,14/08/2023,kargoda
64,5,13,5,615.43,14/12/2024,kargoda
65,15,7,3,856.50,2023-06-25,TESLIM
66,71,13,4,3032.24,2023-04-05,kargoda
67,65,13,3,2755.36,2023-10-26,kargoda
68,20,11,2,3520.67,2024-09-08,TESLIM
69,80,5,2,2218.50,15/08/2024,Teslim
70,25,9,1,1701.73,14.01.2024,teslim
71,55,17,3,2963.36,2023-11-27,TESLIM
72,18,7,5,917.63,26.03.2024,teslim
73,1,10,2,1190.45,16/09/2023,kargoda
74,54,20,4,391.60,23.11.2023,teslim
75,27,14,5,3774.54,2023-07-27,TESLIM
76,50,6,5,3000.21,01/11/2024,teslim
77,27,2,3,3504.78,24/11/2024,kargoda
78,21,17,1,1638.42,2023-03-24,teslim
79,47,20,2,2716.65,03/07/2023,kargoda
80,7,8,5,1479.82,28/05/2023,TESLIM
81,22,8,1,3436.41,18.04.2023,iptal
82,30,17,3,3418.18,24/04/2024,kargoda
83,64,2,4,2134.59,25.05.2024,TESLIM
84,15,13,5,552.98,2024-10-18,kargoda
85,29,4,2,2545.21,23.01.2024,beklemede
86,31,3,4,920.95,05/01/2023,kargoda
87,45,15,4,1328.72,2024-05-22,TESLIM
88,74,9,2,1605.88,16/04/2024,kargoda
89,46,12,5,582.87,12/10/2023,Teslim
90,74,13,5,1728.98,22.12.2024,kargoda
91,33,2,4,3063.70,08/06/2023,iptal
92,44,2,5,1304.32,13.05.2024,beklemede
93,46,10,4,3502.42,22.06.2023,Teslim
94,72,3,4,3728.51,08/04/2023,TESLIM
95,52,19,4,1845.34,2024-06-18,teslim
96,38,3,1,2006.58,2024-03-16,TESLIM
97,79,6,4,3727.34,2024-06-12,Teslim
98,23,20,4,232.50,10/05/2024,beklemede
99,43,12,4,769.65,15/06/2024,beklemede
100,42,8,2,3362.74,2024-11-09,TESLIM
101,1,12,5,3486.69,16/07/2023,kargoda
102,40,15,2,3058.19,06.09.2024,iptal
103,34,2,2,3063.31,2023-05-08,TESLIM
104,21,1,2,1194.67,2023-07-11,TESLIM
105,11,14,5,1821.30,20/12/2023,iptal
106,19,10,2,2694.67,2023-10-04,kargoda
107,73,3,4,1337.48,11.12.2023,Teslim
108,24,1,2,1580.69,04/10/2024,teslim
109,54,15,2,2641.05,01.04.2023,TESLIM
110,8,12,2,3641.43,01/08/2024,iptal
111,34,17,3,151.85,10/09/2023,kargoda
112,7,3,4,1106.38,03.09.2024,iptal
113,40,16,5,118.70,05/07/2023,beklemede
114,10,1,3,2950.99,07.04.2023,Teslim
115,42,13,4,350.34,2023-02-11,kargoda
116,42,4,5,2181.23,2023-05-15,kargoda
117,45,15,2,,2023-07-13,teslim
118,12,14,2,,13/02/2023,TESLIM
119,13,11,2,2738.42,2024-07-12,kargoda
120,10,14,4,863.13,2024-08-11,kargoda
121,37,3,1,1657.65,27/02/2023,TESLIM
122,33,13,3,621.32,21.08.2024,TESLIM
123,12,8,4,3924.31,11/12/2024,kargoda
124,62,18,4,2041.56,26/04/2023,beklemede
125,68,10,2,3089.51,2024-01-07,TESLIM
126,55,20,1,2253.18,2023-01-07,kargoda
