urun_id,ad,kategori,liste_fiyati,stok
1,Kablosuz Kulaklık,Giyim,3243.81,444
2,Pamuklu Tişört,Ev,226.57,54
3,Roman Kitabı,Giyim,1900.33,467
4,Masa Lambası,Giyim,1136.03,478
5,Koşu Ayakkabısı,Elektronik,3750.71,348
6,Nemlendirici,Giyim,495.44,432
7,Bluetooth Hoparlör,Giyim,570.37,380
8,Kot Pantolon,Giyim,1304.18,314
9,Bilim Kitabı,Ev,3949.55,284
10,Yastık,Elektronik,1725.20,81
11,Yoga Matı,Kitap,2603.76,261
12,Şampuan,Ev,700.26,490
13,Powerbank,Ev,457.57,331
14,Mont,Kozmetik,205.72,204
15,Çocuk Kitabı,Giyim,579.55,86
16,Tencere Seti,Kitap,177.22,314
17,Dambıl Seti,Ev,1205.30,474
18,Parfüm,Giyim,2098.99,236
19,Klavye,Elektronik,2726.86,183
20,Sweatshirt,Kozmetik,527.04,479
